水头,温度,时间,位移
0,0,1,0
-1.27,0,8,-0.03
-1.18,-0.035,16,0
-2.15,0.003846154,26,-0.01
-2.69,0.05,32,-0.04
-3.53,-0.08125,39,-0.05
-5,-0.31,47,-0.11
-7.23,-0.433333333,56,-0.18
-8.5,-0.461111111,61,-0.24
-10.27,-0.5,68,-0.29
-12,-0.46,76,-0.37
-14.6,-0.479166667,85,-0.47
-16.9,-0.511111111,92,-0.51
-19.6,-0.55,99,-0.58
-21.1,-0.59,107,-0.63
-23.99,-0.568181818,116,-0.75
-26.19,-0.55,123,-0.86
-28.2,-0.555,130,-0.83
-29.18,-0.59,137,-0.87
-28.7,-0.65,145,-0.71
-29.25,-0.7,153,-0.94
-30.05,-0.7,160,-0.95
-32.7,-0.655,169,-1.05
-30.4,-0.686363636,178,-0.97
-22.85,-0.716666667,184,-1.53
-16.55,-0.755,191,-1.21
-14.74,-0.795,199,-1.25
-13.8,-0.829166667,207,-1.65
-11.79,-0.855555556,213,-1.6
-9.97,-0.9,221,-1.03
-9.62,-0.9,230,-1.01
-10.25,-0.85,237,-1
-12.02,-0.788888889,245,-1.06
-12.35,-0.75,252,-1.16
-12.13,-0.71,260,-1.15
-11.18,-1.145454545,269,-1.1
-11.35,-1.344444444,275,-1.23
-12.07,-1.13,283,-1.4
-12.32,-0.95,292,-1.46
-12.79,-0.95,298,-1.54
-13.41,-0.938888889,306,-1.34
-13.75,-0.911111111,311,-1.6
-15.45,-0.855,322,-1.47
-16.3,-0.777272727,331,-1.66
-16.62,-0.738888889,336,-1.63
-18.42,-0.66,351,-1.63
-19.65,-0.816666667,361,-1.62
-21.16,-0.922222222,367,-1.38
-22.26,-1,374,-1.72
-23.93,-1.09,383,-1.47
-25.26,-1.1,392,-1.43
-25.89,-1.088888889,398,-1.41
-26.09,-1.055555556,404,-1.46
-26.85,-1,415,-1.48
-27.61,-1.044444444,423,-1.43
-28.25,-1.061111111,426,-1.38
-29.85,-1.1,433,-1.43
-32.28,-1.15,443,-1.33
-33.61,-1.15,451,-1.14
-39.01,-1.2,512,-2.33
-29.63,-1.25,530,-2.03
-25.56,-1.25,543,-2.04
-10.9,-1.25,560,-1.66
-6.23,-1.6,573,-1.11
-5,-2.2,591,-0.46
-4.28,-2.6,604,-0.47
-4.47,-2.35,622,0.13
-3.21,-2.2,635,-0.44
-0.9,-1.75,652,0.49
-1.59,-0.95,665,0.09
-7.67,-1.05,713,-0.05
-8.7,-1.2,726,0.12
-9.63,-1.45,744,0.34
-12.63,-1.55,757,0.52
-19.63,-1.6,788,-0.02
-20.35,-1.55,816,-1.67
-25.6,-1.6,834,-1.72
-29.35,-1.6,847,-1.66
-34.55,-1.75,908,-1.28
-34.55,-1.85,925,-1.43
-33.57,-1.9,938,-1.45
-33.57,-1.95,956,-1.11
-34.71,-2,969,-1.1
-34.71,-1.941935484,987,-0.61
-34.77,-1.9,1000,-0.61
-34.77,-1.843333333,1017,-0.79
-31.62,-1.8,1030,-0.69
-31.62,-1.829032258,1048,-0.92
-30.74,-1.85,1061,-0.95
-30.74,-1.906666667,1078,-0.79
-30.74,-1.95,1091,-0.78
-30.74,-1.979032258,1109,-0.61
-30.74,-2,1122,-0.62
-30.74,-1.970967742,1140,-0.66
-35.81,-1.95,1153,-0.57
-35.81,-2.005172414,1169,-0.59
-36.05,-2.05,1182,-0.57
-36.05,-2.079032258,1200,-0.78
-35.98,-2.1,1213,-0.76
-35.02,-2.241666667,1230,-0.75
-29.87,-2.35,1243,-0.66
-22.35,-2.408064516,1261,-0.43
-13.95,-2.45,1274,-0.07
-12.96,-1.883333333,1291,-0.1
-8.02,-1.45,1304,0.44
-2,-1.914516129,1322,0.42
-2.05,-2.25,1335,0.37
-1.97,-2.25,1353,0.62
-1.51,-2.25,1366,0.64
-3.27,-2.051666667,1383,0.58
-5.12,-1.9,1396,0.51
-6.72,-2.132258065,1414,0.36
-7.24,-2.3,1427,0.32
-10.2,-2.328333333,1444,0.27
-13.02,-2.35,1457,0.12
-16.81,-2.4,1475,-0.04
-18.33,-2.45,1488,-0.08
-20.2,-2.4,1506,-0.13
-22.855,-2.35,1519,-0.19
-25.161,-2.4,1534,-0.27
-27.467,-2.45,1547,-0.31
-29.773,-2.55,1565,-0.34
